SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2011/2012,BC Public School,20,Kootenay-Columbia,2099090,On-Line Learning Centre,Alternate,601 7th Ave.,Castlegar,BC,V1N1R6,250 365-0771,250 365-0791,49.3221,-117.659,SECONDARY,12-Sep,FALSE,TRUE
2011/2012,BC Public School,20,Kootenay-Columbia,2099137,Kootenay-Columbia Learning Centre,Alternate,2000 Third Ave,Trail,BC,V1R1R6,250 364-1275,250 364-5743,49.097,-117.695,ELEMENTARY SECONDARY,12-Jun,TRUE,TRUE
2011/2012,BC Public School,20,Kootenay-Columbia,2099158,Kootenay-Columbia Virtual School,District Distance Ed,2000 3rd Ave,Trail,BC,V1R1R6,250 364-1275,250 364-5743,49.097,-117.695,JUNIOR SECONDARY,09-Aug,FALSE,TRUE
2011/2012,BC Public School,22,Vernon,2222000,Continuing Ed SD 22,Continuing Ed,2901 29 St,Vernon,BC,V1T5A5,250 549-3546,250 549-0411,50.263,-119.269,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,22,Vernon,2222001,Beairsto Elementary,Standard,3302 27 St,Vernon,BC,V1T4W7,250 542-1388,250 542-8524,50.2664,-119.267,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222002,Coldstream Elementary,Standard,10104 Kalamalka Rd,Coldstream,BC,V1B1L7,250 545-0597,250 545-2030,50.2236,-119.232,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222005,Cherryville Elementary,Standard,108 North Fork Rd,Cherryville,BC,V0E2G3,250 547-6163,250 547-0142,50.2445,-118.617,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222006,Lavington Elementary,Standard,9715 School Rd,Vernon,BC,V1B3G4,250 545-1710,250 545-7158,50.2314,-119.107,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222007,W L Seaton Secondary,Standard,2701 41 Ave,Vernon,BC,V1T6X3,250 542-3361,250 542-6076,50.2618,-119.291,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,22,Vernon,2222009,Harwood Elementary,Standard,4320 20 St,Vernon,BC,V1T4E3,250 542-5385,250 542-2863,50.277,-119.261,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222010,J W Inglis Elementary,Standard,2287 Shuswap Ave,Lumby,BC,V0E2G0,250 547-9231,250 547-9469,50.2527,-118.967,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222012,Silver Star Elementary,Standard,1404 35 Ave,Vernon,BC,V1T2R6,250 545-4409,250 545-7680,50.2669,-119.25,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222013,Okanagan Landing Elementary,Standard,7322 Grant Rd,Vernon,BC,V1H1G6,250 542-1181,250 542-5047,50.2376,-119.344,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222014,B X Elementary,Standard,5849 Silver Star Rd,Vernon,BC,V1B3P6,250 542-4013,250 545-1726,50.2901,-119.223,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222015,Hillview Elementary,Standard,1822 Francis St,Vernon,BC,V1B3A5,250 542-5465,250 542-0545,50.254,-119.237,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,22,Vernon,2222017,Vernon Secondary,Standard,2303 18 St,Vernon,BC,V1T3Z9,250 545-0701,250 545-6823,50.2582,-119.254,SECONDARY,12-Aug,FALSE,TRUE
